yaw,roll,pitch,long_velocity,lat_velocity,gps_latitude,gps_longitude
90.73,0.62,2.57,19.13,0.04,37.41483645920942,127.12871349816423
89.94,1.01,2.26,24.39,0.46,37.41519942665659,127.12872287324802
90.42,0.85,2.22,21.74,0.33,37.41500479750432,127.12871712929713
90.18,0.94,2.19,21.31,0.45,37.41511933202851,127.12872125438027
90.58,0.71,2.25,20.85,0.26,37.41497243023559,127.12871617990292
90.69,0.7,2.54,18.84,0.11,37.41486509734789,127.12871387925107
90.61,0.79,2.27,20.55,0.26,37.41496208861433,127.12871590093816
90.68,0.72,2.57,18.73,0.12,37.41487457620676,127.12871401628333
90.17,0.98,2.13,21.79,0.46,37.41513004602965,127.12872142549774
90.73,0.64,2.36,19.2,0.05,37.41482679189917,127.1287133785615
91.11,0.31,2.27,14.89,-0.15,37.41472742888345,127.1287126458741
89.93,1.05,2.3,24.68,0.46,37.41521172337872,127.12872342822997
90.63,0.79,2.38,19.95,0.23,37.41494198193789,127.12871540396554
90.67,0.74,2.57,18.74,0.13,37.41488408499001,127.12871419681446
90.12,0.99,2.13,22.3,0.46,37.41514097669187,127.12872156916353
90.35,0.81,2.58,21.38,0.43,37.41502645195774,127.12871788409585
90.78,0.44,2.24,15.46,-0.08,37.41475752077865,127.12871267966271
90.0,0.98,2.21,23.78,0.45,37.41517535173553,127.12872208568835
90.74,0.62,2.24,18.93,0.04,37.41481719304345,127.12871326136369
90.66,0.78,2.42,19.24,0.17,37.41491281688304,127.12871475098522
89.97,1.0,2.24,24.11,0.44,37.41518733022381,127.12872233197407
90.29,0.68,2.67,20.76,0.42,37.41504756622384,127.12871873630658
90.76,0.46,2.23,15.81,-0.06,37.41476536546177,127.12871271719811
90.65,0.77,2.38,19.44,0.18,37.41492247590568,127.1287149648329
90.85,0.44,2.23,15.19,-0.11,37.41474982510582,127.12871263408344
90.08,0.99,2.17,22.81,0.46,37.41515213654201,127.12872172333432
90.67,0.75,2.45,19.04,0.17,37.41490317377959,127.12871454077226
90.7,0.6,2.23,17.76,0.01,37.41479878045605,127.12871307232231
90.21,0.84,2.59,20.27,0.43,37.41507821826597,127.12872007393877
90.74,0.5,2.22,16.2,-0.03,37.4147733711816,127.12871279611548
90.55,0.66,2.26,21.21,0.31,37.41498305938144,127.12871648120624
90.27,0.77,2.59,20.46,0.45,37.4150583927748,127.12871920132858
90.24,0.87,2.61,20.28,0.42,37.41506808128687,127.12871962136413
90.72,0.55,2.25,16.66,-0.02,37.41478155309077,127.12871288971867
90.68,0.72,2.46,18.92,0.13,37.41489360061704,127.1287143788788
90.72,0.64,2.24,18.35,0.02,37.41480784684994,127.12871318691094
90.04,0.98,2.16,23.38,0.44,37.41516359295228,127.12872190275891
90.3,0.84,2.7,21.08,0.37,37.41503704297995,127.12871830865268
90.7,0.58,2.25,17.19,-0.0,37.414789990713,127.12871295829942
90.21,0.95,2.36,20.54,0.46,37.41509850691131,127.12872082606212
90.62,0.75,2.33,20.24,0.25,37.41495195120072,127.12871565941299
90.73,0.64,2.56,19.07,0.06,37.41484604281202,127.12871358908932
91.03,0.28,2.24,14.86,-0.13,37.41473487066775,127.12871262424409
90.65,0.79,2.38,19.68,0.2,37.41493214882077,127.12871516036742
90.35,0.75,2.34,21.61,0.34,37.41501568294832,127.12871749982727
90.93,0.38,2.22,14.99,-0.09,37.41474233057895,127.12871260608075
90.72,0.68,2.57,18.89,0.08,37.41485558595504,127.12871372741401
90.19,0.95,2.25,20.88,0.44,37.41510881753586,127.12872106100338
90.49,0.76,2.28,21.54,0.32,37.41499388648081,127.12871677902332
90.21,0.86,2.44,20.38,0.46,37.41508835200357,127.12872045870157
